No.	Name	Pronunciation	New_Freq
372	俗	sio̍k	2810
506	消	siau	2810
559	討	thó	2800
2084	徒	tôo	2797
188	仙	sian	2792
199	球	kiû	2784
395	展	tián	2778
413	料	liāu	2775
1219	媠	suí	2774
289	量	liōng	2765
460	光	kng	2761
609	趁	thàn	2759
502	計	kè	2759
827	懸	kuân	2753
360	景	kíng	2750
537	換	uānn	2747
642	差	tsha	2740
332	便	piān	2736
3502	蹛	tuà	2725
497	制	tsè	2722
1394	互	hōo	2721
829	黨	tóng	2708
880	歷	li̍k	2707
481	資	tsu	2706
767	永	íng	2703
224	票	phiò	2693
841	決	kuat	2691
527	怪	kuài	2686
3279	遐	hiâ	2677
249	桌	toh	2677
3279	遐	hia	2677
2903	佮	kap	2668
1171	兩	lióng	2654
316	管	kuán	2652
450	演	ián	2640
562	備	pī	2639
2046	拍	phik	2637
288	費	huì	2631
419	集	tsi̍p	2628
511	順	sūn	2626
529	服	ho̍k	2625
268	鐵	thih	2613
1276	史	sú	2602
2103	偌	guā	2602
660	德	tik	2594
370	近	kūn	2586
370	近	kīn	2586
182	皮	phê	2583
384	護	hōo	2583
182	皮	phuê	2583
369	林	lîm	2578
936	等	tán	2562
1041	請	tshíng	2562
409	春	tshun	2561
442	徛	khiā	2561
361	畫	uē	2560
335	務	bū	2544
416	透	thàu	2543
895	共	kiōng	2539
1989	及	ki̍p	2526
457	五	gōo	2521
1437	恬	tiām	2516
573	慢	bān	2514
588	功	kong	2513
1973	歡	huan	2505
2686	遮	tsiah	2503
1320	將	tsiong	2502
501	相	siong	2500
280	投	tâu	2494
650	創	tshòng	2493
392	青	tshinn	2489
392	青	tshenn	2489
627	甘	kam	2482
788	物	mi̍h	2476
788	物	mn̍gh	2476
638	城	siânn	2472
582	驗	giām	2471
272	補	póo	2470
600	容	iông	2467
317	養	ióng	2466
436	姑	koo	2461
1100	眾	tsiòng	2450
371	雨	hōo	2449
347	七	tshit	2425
274	仁	lîn	2425
274	仁	jîn	2425
851	致	tì	2414
1034	盡	tsīn	2410
1169	見	kìnn	2409
1063	庄	tsng	2400
678	待	thāi	2397
796	夠	kàu	2390
312	退	thè	2387
4639	踮	tiàm	2386
760	題	tê	2380
760	題	tuê	2380
1350	𠢕	gâu	2377
396	財	tsâi	2375
577	壁	piah	2374
528	放	hòng	2372
478	視	sī	2371
596	定	tiānn	2370
300	質	tsit	2369
400	暝	mê	2368
400	暝	mî	2368
296	洗	sué	2363
771	成	tsiânn	2363
296	洗	sé	2363
973	再	tsài	2362
947	種	tsióng	2362
359	鳥	tsiáu	2362
254	鼻	phīnn	2360
4474	對	uì	2354
512	跳	thiàu	2351
778	育	io̍k	2344
294	回	huê	2342
294	回	hê	2342
545	力	la̍t	2342
862	習	si̍p	2332
2599	碇	tiānn	2331
726	拚	piànn	2326
794	唱	tshiùnn	2326
713	女	lú	2326
712	女	lí	2326
793	參	tsham	2323
444	術	su̍t	2321
2242	駛	sái	2319
595	肝	kuann	2310
411	科	kho	2308
1489	經	kenn	2304
1489	經	kinn	2304
540	飼	tshī	2294
791	班	pan	2292
978	完	uân	2285
2858	但	tān	2284
834	支	tsi	2281
2908	呢	ne	2279
513	樓	lâu	2278
382	警	kíng	2277
363	熱	jia̍t	2275
363	熱	lia̍t	2275
358	野	iá	2274
399	鼓	kóo	2258
1140	識	sik	2256
521	平	pênn	2251
1070	快	khuài	2251
521	平	pînn	2251
350	局	kio̍k	2245
1155	各	kok	2238
311	案	àn	2236
415	婆	pô	2236
780	姊	tsí	2236
592	冷	líng	2230
619	樂	lo̍k	2229
420	亂	luān	2228
893	夫	hu	2228
327	任	līm	2224
327	任	jīm	2224
624	靈	lîng	2220
786	果	kó	2217
486	聯	liân	2216
625	千	tshian	2213
3805	彼	he	2206
172	貨	hè	2200
172	貨	huè	2200
634	奇	kî	2197
277	血	huih	2188
277	血	hueh	2188
412	修	siu	2187
878	課	khò	2186
892	切	tshiat	2183
418	圍	uî	2174
3179	最	tsuè	2169
931	粒	lia̍p	2160
544	證	tsìng	2160
487	額	gia̍h	2154
1057	內	luē	2150
176	斗	táu	2150
672	印	ìn	2149
865	焦	ta	2145
585	引	ín	2143
1949	艱	kan	2140
1799	按	án	2137
614	試	tshì	2135
1553	由	iû	2135
742	殼	khak	2134
4018	捘	tsūn	2129
3244	搤	iah	2129
340	筆	pit	2127
397	腹	pak	2127
731	珠	tsu	2117
494	告	kò	2113
334	柴	tshâ	2111
572	團	thuân	2111
433	助	tsōo	2111
315	湖	ôo	2109
661	樂	ga̍k	2106
447	源	guân	2104
484	賣	bē	2101
343	職	tsit	2101
484	賣	buē	2101
517	寶	pó	2099
599	食	si̍t	2097
686	婚	hun	2097
612	黃	n̂g	2091
707	靜	tsīng	2086
769	名	bîng	2083
982	亞	a	2083
825	類	luī	2067
584	五	ngóo	2062
1403	先	sing	2061
2454	祈	kî	2054
193	臺	tâi	2050
473	假	ké	2047
653	程	tîng	2043
364	刀	to	2036
795	堂	tn̂g	2031
696	隔	keh	2028
571	圖	tôo	2028
1257	歸	kui	2025
881	䆀	bái	2022
1297	非	hui	2018
1023	歲	huè	2007
1023	歲	hè	2007
446	番	huan	2005
408	指	tsí	2001
202	龜	ku	2000
475	軟	nńg	1998
873	滿	buán	1996
1006	婦	hū	1992
3217	跛	pái	1991
994	勇	ióng	1985
1324	望	bāng	1980
722	典	tián	1978
563	惡	ok	1971
907	注	tsù	1968
1638	喝	huah	1968
942	煩	huân	1967
509	博	phok	1962
547	六	la̍k	1960
505	格	keh	1956
685	停	thîng	1954
1001	留	liû	1946
1138	舊	kū	1945
424	緣	iân	1944
830	蘭	lân	1941
1893	裡	lí	1940
451	網	bāng	1939
386	元	guân	1937
776	批	phue	1936
699	境	kíng	1932
746	買	bé	1923
955	靠	khò	1923
746	買	bué	1923
602	鬥	tàu	1921
1417	李	lí	1918
421	舞	bú	1914
925	益	ik	1911
426	燈	ting	1910
1161	伯	peh	1908
453	激	kik	1908
1255	幫	pang	1908
643	眠	bîn	1906
525	西	sai	1902
1022	極	ki̍k	1899
536	勞	lô	1896
4875	禱	tó	1894
2264	濟	tsè	1885
465	空	khong	1884
538	隊	tuī	1881
858	惜	sioh	1876
306	耳	hīnn	1870
306	耳	hī	1870
4540	閣	kooh	1868
787	枝	ki	1864
1053	鐘	tsing	1863
520	片	phìnn	1860
479	圓	înn	1855
645	偷	thau	1854
826	嚴	giâm	1853
921	孫	sun	1853
2144	揣	tshuē	1852
2144	揣	tshē	1852
218	宮	kiong	1850
477	復	ho̍k	1848
1739	之	tsi	1845
533	哥	ko	1841
1772	究	kiù	1841
1222	智	tì	1834
526	孝	hàu	1833
618	疑	gî	1832
3336	語	gú	1831
1046	舉	kí	1824
495	肚	tōo	1823
705	整	tsíng	1822
655	貴	kuì	1821
929	晝	tàu	1820
1501	趕	kuánn	1819
759	翻	huan	1817
503	效	hāu	1816
472	除	tî	1812
472	除	tû	1812
768	目	bo̍k	1808
979	弟	tī	1808
615	賊	tsha̍t	1807
2379	每	muí	1805
594	肚	tóo	1802
980	志	tsì	1796
1718	軀	khu	1796
455	八	pat	1787
727	相	siòng	1786
551	幼	iù	1785
1167	系	hē	1781
679	派	phài	1780
1635	陳	tîn	1773
915	紀	kì	1773
431	毛	mn̂g	1768
354	配	phè	1767
354	配	phuè	1767
932	組	tsoo	1767
737	推	thui	1766
499	毒	to̍k	1764
575	箍	khoo	1764
753	調	tiâu	1762
469	香	hiunn	1757
236	商	siong	1750
234	粉	hún	1750
1229	敬	kìng	1749
639	怨	uàn	1749
2821	另	līng	1745
1490	群	kûn	1745
872	態	thài	1744
899	兵	ping	1742
835	欠	khiàm	1738
670	犯	huān	1738
867	嫁	kè	1737
967	干	kan	1736
723	初	tshoo	1736
663	踏	ta̍h	1736
692	評	phîng	1735
908	版	pán	1734
516	藝	gē	1733
1004	翁	ang	1732
675	河	hô	1729
708	斷	tn̄g	1722
1288	牢	tiâu	1721
1850	莫	bo̍k	1720
1274	加	ke	1719
1408	住	tsū	1718
644	素	sòo	1717
2813	今	kin	1712
810	農	lông	1711
848	宣	suan	1710
704	編	pian	1708
636	拖	thua	1704
977	刣	thâi	1700
244	瓜	kue	1700
763	反	píng	1698
430	木	bo̍k	1697
1258	簡	kán	1691
1033	滿	muá	1688
843	良	liông	1685
900	秀	siù	1682
1322	採	tshái	1681
896	列	lia̍t	1678
790	重	tîng	1677
542	縣	kuān	1675
608	短	té	1674
