447	件	2,507	0.05%	73.27%
448	太	2,500	0.04%	73.32%
449	嘛	2,487	0.04%	73.36%
450	滿	2,485	0.04%	73.41%
451	歹	2,463	0.04%	73.45%
452	約	2,442	0.04%	73.49%
453	準	2,441	0.04%	73.54%
454	扑	2,437	0.04%	73.58%
455	害	2,428	0.04%	73.63%
456	客	2,428	0.04%	73.67%
457	囝	2,428	0.04%	73.71%
458	買	2,426	0.04%	73.76%
459	詞	2,421	0.04%	73.80%
460	góa	2,393	0.04%	73.84%
461	閣	2,388	0.04%	73.89%
462	果	2,384	0.04%	73.93%
463	kám	2,379	0.04%	73.97%
464	空	2,378	0.04%	74.01%
465	和	2,375	0.04%	74.06%
466	互	2,371	0.04%	74.10%
467	份	2,365	0.04%	74.14%
468	婦	2,361	0.04%	74.18%
469	tāi	2,346	0.04%	74.23%
470	深	2,338	0.04%	74.27%
471	tiàm	2,336	0.04%	74.31%
472	及	2,326	0.04%	74.35%
473	súi	2,324	0.04%	74.39%
474	形	2,319	0.04%	74.44%
475	ùi	2,304	0.04%	74.48%
476	調	2,295	0.04%	74.52%
477	數	2,289	0.04%	74.56%
478	cha	2,282	0.04%	74.60%
479	紅	2,273	0.04%	74.64%
480	期	2,247	0.04%	74.68%
481	特	2,247	0.04%	74.72%
482	軀	2,245	0.04%	74.76%
483	士	2,242	0.04%	74.80%
484	暝	2,237	0.04%	74.84%
485	破	2,233	0.04%	74.88%
486	包	2,233	0.04%	74.92%
487	隨	2,232	0.04%	74.96%
488	樹	2,228	0.04%	75.00%
489	田	2,226	0.04%	75.04%
490	chóaⁿ	2,226	0.04%	75.08%
491	彼	2,222	0.04%	75.12%
492	陳	2,210	0.04%	75.16%
493	史	2,202	0.04%	75.20%
494	市	2,202	0.04%	75.24%
495	古	2,202	0.04%	75.28%
496	堂	2,188	0.04%	75.32%
497	bó͘	2,187	0.04%	75.36%
498	各	2,186	0.04%	75.40%
499	煞	2,181	0.04%	75.44%
500	ne	2,179	0.04%	75.48%
501	弟	2,174	0.04%	75.52%
502	辦	2,168	0.04%	75.56%
503	考	2,158	0.04%	75.59%
504	he	2,156	0.04%	75.63%
505	府	2,156	0.04%	75.67%
506	收	2,150	0.04%	75.71%
507	謝	2,128	0.04%	75.75%
508	傷	2,124	0.04%	75.79%
509	替	2,122	0.04%	75.82%
510	仝	2,112	0.04%	75.86%
511	節	2,105	0.04%	75.90%
512	快	2,102	0.04%	75.94%
513	kāng	2,090	0.04%	75.98%
514	chūn	2,079	0.04%	76.01%
515	冬	2,077	0.04%	76.05%
516	最	2,069	0.04%	76.09%
517	願	2,066	0.04%	76.12%
518	掠	2,059	0.04%	76.16%
519	曉	2,058	0.04%	76.20%
520	歷	2,057	0.04%	76.24%
521	建	2,051	0.04%	76.27%
522	賣	2,049	0.04%	76.31%
523	員	2,047	0.04%	76.35%
524	東	2,043	0.04%	76.38%
525	決	2,041	0.04%	76.42%
526	tit	2,036	0.04%	76.46%
527	精	2,036	0.04%	76.49%
528	iah	2,029	0.04%	76.53%
529	kui	2,020	0.04%	76.56%
530	官	2,017	0.04%	76.60%
531	味	2,012	0.04%	76.64%
532	黨	2,008	0.04%	76.67%
533	支	2,008	0.04%	76.71%
534	城	2,004	0.04%	76.75%
535	永	2,003	0.04%	76.78%
536	造	2,000	0.04%	76.82%
537	觀	1,998	0.04%	76.85%
538	gâu	1,977	0.04%	76.89%
539	ni̍h	1,971	0.04%	76.92%
540	chì	1,968	0.04%	76.96%
541	娘	1,965	0.04%	76.99%
542	戰	1,960	0.04%	77.03%
543	強	1,951	0.04%	77.06%
544	牛	1,950	0.04%	77.10%
545	kóa	1,940	0.03%	77.13%
546	共	1,939	0.03%	77.17%
547	kiám	1,938	0.03%	77.20%
548	穿	1,927	0.03%	77.24%
549	衫	1,926	0.03%	77.27%
550	祈	1,904	0.03%	77.31%
551	庄	1,900	0.03%	77.34%
552	pái	1,891	0.03%	77.38%
553	草	1,890	0.03%	77.41%
554	艱	1,890	0.03%	77.44%
555	持	1,890	0.03%	77.48%
556	送	1,880	0.03%	77.51%
557	計	1,872	0.03%	77.55%
558	爸	1,870	0.03%	77.58%
559	管	1,866	0.03%	77.61%
560	盡	1,860	0.03%	77.65%
561	趁	1,859	0.03%	77.68%
562	唱	1,859	0.03%	77.71%
563	phah	1,850	0.03%	77.75%
564	討	1,850	0.03%	77.78%
565	sái	1,846	0.03%	77.81%
566	禱	1,844	0.03%	77.85%
567	由	1,835	0.03%	77.88%
568	屎	1,831	0.03%	77.91%
569	魚	1,819	0.03%	77.94%
570	燒	1,819	0.03%	77.98%
571	欲	1,818	0.03%	78.01%
572	院	1,816	0.03%	78.04%
573	再	1,812	0.03%	78.07%
574	伯	1,783	0.03%	78.11%
575	kiáⁿ	1,776	0.03%	78.14%
576	怪	1,771	0.03%	78.17%
577	園	1,769	0.03%	78.20%
578	難	1,765	0.03%	78.23%
579	足	1,765	0.03%	78.27%
580	致	1,764	0.03%	78.30%
581	消	1,760	0.03%	78.33%
582	識	1,756	0.03%	78.36%
583	仁	1,751	0.03%	78.39%
584	換	1,747	0.03%	78.42%
585	德	1,744	0.03%	78.45%
586	創	1,740	0.03%	78.49%
587	完	1,735	0.03%	78.52%
588	議	1,734	0.03%	78.55%
589	洗	1,727	0.03%	78.58%
590	切	1,715	0.03%	78.61%
591	展	1,712	0.03%	78.64%
592	功	1,703	0.03%	78.67%
593	石	1,702	0.03%	78.70%
594	飛	1,702	0.03%	78.73%
595	散	1,698	0.03%	78.76%
596	夠	1,690	0.03%	78.79%
597	備	1,689	0.03%	78.82%
598	回	1,685	0.03%	78.85%
599	習	1,682	0.03%	78.88%
600	趕	1,679	0.03%	78.91%
601	制	1,672	0.03%	78.94%
602	酒	1,671	0.03%	78.97%
603	船	1,670	0.03%	79.00%
604	狗	1,668	0.03%	79.03%
605	牽	1,667	0.03%	79.06%
606	奇	1,664	0.03%	79.09%
607	每	1,655	0.03%	79.12%
608	課	1,655	0.03%	79.15%
609	留	1,650	0.03%	79.18%
610	任	1,648	0.03%	79.21%
611	姊	1,646	0.03%	79.24%
612	另	1,645	0.03%	79.27%
613	菜	1,641	0.03%	79.30%
614	裡	1,640	0.03%	79.33%
615	雞	1,640	0.03%	79.36%
616	輕	1,632	0.03%	79.39%
617	甘	1,632	0.03%	79.42%
618	品	1,632	0.03%	79.45%
619	夫	1,628	0.03%	79.48%
620	服	1,625	0.03%	79.51%
621	幫	1,620	0.03%	79.54%
622	非	1,618	0.03%	79.56%
623	量	1,607	0.03%	79.59%
624	資	1,606	0.03%	79.62%
625	千	1,604	0.03%	79.65%
626	排	1,600	0.03%	79.68%
627	雄	1,599	0.03%	79.71%
628	待	1,597	0.03%	79.74%
629	注	1,596	0.03%	79.77%
630	姓	1,596	0.03%	79.79%
631	之	1,595	0.03%	79.82%
632	班	1,592	0.03%	79.85%
633	究	1,591	0.03%	79.88%
634	恁	1,589	0.03%	79.91%
635	黃	1,589	0.03%	79.94%
636	研	1,588	0.03%	79.97%
637	標	1,586	0.03%	79.99%
638	肉	1,585	0.03%	80.02%
639	專	1,579	0.03%	80.05%
640	mah	1,578	0.03%	80.08%
641	順	1,576	0.03%	80.11%
642	拚	1,576	0.03%	80.14%
643	歸	1,575	0.03%	80.16%
644	料	1,575	0.03%	80.19%
645	卡	1,573	0.03%	80.22%
646	李	1,568	0.03%	80.25%
647	容	1,567	0.03%	80.28%
648	祖	1,564	0.03%	80.30%
649	慢	1,564	0.03%	80.33%
650	粒	1,560	0.03%	80.36%
651	假	1,551	0.03%	80.39%
652	程	1,545	0.03%	80.42%
653	tia̍p	1,541	0.03%	80.44%
654	the̍h	1,534	0.03%	80.47%
655	亞	1,533	0.03%	80.50%
656	八	1,531	0.03%	80.53%
657	擔	1,531	0.03%	80.55%
658	拍	1,531	0.03%	80.58%
659	漸	1,521	0.03%	80.61%
660	驗	1,521	0.03%	80.64%
661	pháiⁿ	1,517	0.03%	80.66%
662	初	1,513	0.03%	80.69%
663	ló	1,512	0.03%	80.72%
664	贊	1,511	0.03%	80.75%
665	俗	1,510	0.03%	80.77%
666	蘭	1,508	0.03%	80.80%
667	指	1,503	0.03%	80.83%
668	根	1,501	0.03%	80.85%
669	ta	1,495	0.03%	80.88%
670	規	1,495	0.03%	80.91%
671	lí	1,492	0.03%	80.93%
672	係	1,491	0.03%	80.96%
673	演	1,490	0.03%	80.99%
674	肝	1,489	0.03%	81.01%
675	tiâu	1,487	0.03%	81.04%
676	倚	1,486	0.03%	81.07%
677	角	1,475	0.03%	81.09%
678	米	1,475	0.03%	81.12%
679	血	1,463	0.03%	81.15%
680	產	1,463	0.03%	81.17%
681	雨	1,459	0.03%	81.20%
682	溪	1,455	0.03%	81.23%
683	tòe	1,447	0.03%	81.25%
684	舊	1,445	0.03%	81.28%
685	斷	1,441	0.03%	81.30%
686	勇	1,435	0.03%	81.33%
687	靠	1,434	0.03%	81.35%
688	chiok	1,432	0.03%	81.38%
689	集	1,428	0.03%	81.41%
690	妹	1,428	0.03%	81.43%
691	除	1,425	0.03%	81.46%
692	壁	1,424	0.03%	81.48%
693	啊	1,421	0.03%	81.51%
694	店	1,420	0.03%	81.53%
695	咧	1,419	0.03%	81.56%
696	khiā	1,411	0.03%	81.58%
697	爭	1,409	0.03%	81.61%
698	景	1,400	0.03%	81.64%
699	領	1,398	0.03%	81.66%
700	群	1,395	0.03%	81.69%
701	司	1,393	0.03%	81.71%
702	偌	1,389	0.02%	81.74%
703	鳥	1,387	0.02%	81.76%
704	飯	1,385	0.02%	81.79%
705	智	1,384	0.02%	81.81%
706	殼	1,384	0.02%	81.83%
707	至	1,384	0.02%	81.86%
708	便	1,384	0.02%	81.88%
709	bái	1,372	0.02%	81.91%
710	紀	1,369	0.02%	81.93%
711	住	1,368	0.02%	81.96%
712	珠	1,367	0.02%	81.98%
713	類	1,367	0.02%	82.01%
714	靜	1,367	0.02%	82.03%
715	煩	1,367	0.02%	82.06%
716	雙	1,366	0.02%	82.08%
717	tè	1,362	0.02%	82.11%
718	春	1,361	0.02%	82.13%
719	恩	1,352	0.02%	82.15%
720	極	1,349	0.02%	82.18%
721	印	1,349	0.02%	82.20%
722	又	1,349	0.02%	82.23%
723	透	1,343	0.02%	82.25%
724	額	1,342	0.02%	82.28%
725	痛	1,335	0.02%	82.30%
726	系	1,331	0.02%	82.32%
727	冷	1,330	0.02%	82.35%
728	象	1,326	0.02%	82.37%
729	惜	1,321	0.02%	82.39%
730	靈	1,320	0.02%	82.42%
731	企	1,318	0.02%	82.44%
732	夢	1,318	0.02%	82.47%
733	鐘	1,313	0.02%	82.49%
734	姑	1,311	0.02%	82.51%
735	益	1,311	0.02%	82.54%
736	lim	1,309	0.02%	82.56%
737	庭	1,306	0.02%	82.58%
738	誠	1,305	0.02%	82.61%
739	跳	1,301	0.02%	82.63%
740	敬	1,299	0.02%	82.65%
741	處	1,298	0.02%	82.68%
742	婚	1,297	0.02%	82.70%
743	飼	1,294	0.02%	82.72%
744	顯	1,293	0.02%	82.75%
745	繼	1,292	0.02%	82.77%
746	推	1,288	0.02%	82.79%
747	mài	1,287	0.02%	82.82%
748	希	1,285	0.02%	82.84%
749	護	1,283	0.02%	82.86%
750	kôan	1,283	0.02%	82.88%
751	chhái	1,281	0.02%	82.91%
752	to	1,280	0.02%	82.93%
753	六	1,277	0.02%	82.95%
754	舉	1,274	0.02%	82.98%
755	布	1,274	0.02%	83.00%
